"Location","Region","Latitude","Longitude"
"Preet Vihar","East Delhi","28.6735","77.3001"
"Indirapuram","NCR Ghaziabad","28.6379","77.3649"
"Kalkaji","South Delhi","28.5371","77.2583"
"Sonipat","NCR Sonipat","28.9952","77.0117"
"Netaji Subhash Place","North Delhi","28.6907","77.1781"
"South Extension","South Delhi","28.5672","77.2331"
"Kadarpur","NCR Gurgaon","28.4328","77.0851"
"Arjangarh","South Delhi","28.4769","77.1465"
"Chirag Delhi","South Delhi","28.5464","77.2317"
"Manesar","NCR Gurgaon","28.3546","76.9166"
"Green Park","South Delhi","28.5544","77.2066"
"Badshahpur","NCR Gurgaon","28.3931","77.0537"
"Ashok Vihar","North Delhi","28.6875","77.1917"
"Nehru Place","South Delhi","28.5487","77.2489"
"Chandni Chowk","Central Delhi","28.6597","77.2295"
"Gurgaon Railway Station","NCR Gurgaon","28.4596","77.0308"
"Inderlok","North Delhi","28.6669","77.1710"
"Rajouri Garden","West Delhi","28.6395","77.1236"
"Bhiwadi","NCR Bhiwadi","28.2100","76.8700"
"Subhash Chowk","NCR Gurgaon","28.4290","77.0761"
"Rohini East","North West Delhi","28.7394","77.1279"
"Peeragarhi","West Delhi","28.6799","77.1193"
"Vasant Kunj","South Delhi","28.5246","77.1570"
"Pulbangash","Central Delhi","28.6681","77.2163"
"Kaushambi","NCR Ghaziabad","28.6462","77.3268"
"Bhikaji Cama Place","South Delhi","28.5737","77.1968"
"Kirti Nagar","West Delhi","28.6543","77.1552"
"Paharganj","Central Delhi","28.6445","77.2178"
"Subhash Nagar","West Delhi","28.6515","77.1226"
"Old Gurgaon","NCR Gurgaon","28.4657","77.0239"
"Udyog Vihar","NCR Gurgaon","28.5065","77.0978"
"Hauz Khas","South Delhi","28.5495","77.2036"
"Paschim Vihar","West Delhi","28.6754","77.0981"
"Ambience Mall","NCR Gurgaon","28.5045","77.0947"
"Lal Quila","Central Delhi","28.6562","77.2410"
